cel_files	affymetrix-array-id	affymetrix-array-barcode	affymetrix-scan-date	program-name	affymetrix-created-trackingGUID	affymetrix-parent-dat-file-identifier	affymetrix-plate-barcode	affymetrix-plate-peg-wellposition	affymetrix-scanner-id	affymetrix-scanner-type	affymetrix-pixel-size	affymetrix-channel-feature	affymetrix-scanner-lamp-life	affymetrix-scanparameter-arrayname	affymetrix-scanparameter-array-part-number	affymetrix-scanparameter-media-type	affymetrix-scanparameter-feature-size	affymetrix-scanparameter-array-width	affymetrix-scanparameter-array-height	affymetrix-scanparameter-array-focus-width	affymetrix-scanparameter-array-focus-height	affymetrix-scanparameter-array-num-wave-lengths	affymetrix-scanparameter-array-wave-lengths1	affymetrix-scanparameter-array-wave-lengths2	affymetrix-scanparameter-array-wave-lengths3	affymetrix-scanparameter-array-wave-lengths4	affymetrix-scanparameter-array-wave-lengths5	affymetrix-scanparameter-array-numx-sub-arrays	affymetrix-scanparameter-array-numy-sub-arrays	affymetrix-scanparameter-sub-array-xoffset-um	affymetrix-scanparameter-sub-array-yoffset-um	affymetrix-scanparameter-sub-array-xspacing-um	affymetrix-scanparameter-sub-array-yspacing-um	affymetrix-scanparameter-array-af-target-ul-xum	affymetrix-scanparameter-array-af-target-ul-yum	affymetrix-scanparameter-array-af-target-lr-xum	affymetrix-scanparameter-array-af-target-lr-yum	affymetrix-scanparameter-array-wavelength1-num-exposure-times	affymetrix-scanparameter-array-wavelength1-exposure-times-ms1	affymetrix-scanparameter-array-wavelength2-num-exposure-times	affymetrix-scanparameter-array-wavelength2-exposure-times-ms1	affymetrix-system-type	affymetrix-file-creator	affymetrix-file-version	program-company	program-id	affymetrix-ArrayPlateGUID	affymetrix-ThermoFisherCloudPath	affymetrix-ThermoFisherCloudUser	affymetrix-ThermoFisherCloudCopyOrMoveData	affymetrix-Hyb-Start-Time	affymetrix-Hyb-Stop-Time	affymetrix-Hyb-Set-Temperature	affymetrix-Hyb-Min-Temperature	affymetrix-Hyb-Max-Temperature	affymetrix-Fluidics-Serial-Number	affymetrix-Fluidics-Date	affymetrix-Fluidics-Wash-B-Set-Temperature	affymetrix-Fluidics-Water-Wash-Set-Temperature	affymetrix-Fluidics-Wash-B-Min-Temperature	affymetrix-Fluidics-Wash-B-Max-Temperature	affymetrix-Fluidics-Water-Wash-Min-Temperature	affymetrix-Fluidics-Water-Wash-Max-Temperature	affymetrix-Fluidics-Actual-Time	affymetrix-hybwash-operator	affymetrix-scanner-serialnumber	affymetrix-scanner-operator	affymetrix-ArrayParameter-featureColumns	affymetrix-ArrayParameter-featureRows	affymetrix-ArrayParameter-featureSetback	affymetrix-ArrayParameter-featureHeight	affymetrix-ArrayParameter-featureWidth	affymetrix-ArrayParameter-partNumber	affymetrix-ArrayParameter-testType	affymetrix-array-type	affymetrix-created-arraytype	affymetrix-plate-GUID	affymetrix-array-masterfileGUID	affymetrix-created-masterfileGUID	affymetrix-array-libraryPackageName	affymetrix-created-libraryPackageName	affymetrix-image-grid-status	affymetrix-workflowGUID	affymetrix-PlateScanGUID	affymetrix-DynamicRangeScan	affymetrix-DynamicRangeLowExposure	plate-format	plate-well-count	plateRows	plateColumns	CameraType	affymetrix-PixelSaturationLimit	affymetrix-channel-wavelength	affymetrix-channel-wavelength-name	affymetrix-exposure-time	affymetrix-algorithm-name	affymetrix-algorithm-version	affymetrix-library-package	affymetrix-cel-rows	affymetrix-cel-cols	affymetrix-algorithm-param-NumPixelsToUse	affymetrix-algorithm-param-ImageCalibration	affymetrix-algorithm-param-FeatureExtraction	affymetrix-algorithm-param-IgnoreShiftRowOutliers	affymetrix-algorithm-param-FixedCellSize	affymetrix-algorithm-param-UseSubgrids	affymetrix-algorithm-param-RandomizePixels	affymetrix-algorithm-param-ErrorBasis	affymetrix-algorithm-param-PercentileSpread	affymetrix-algorithm-param-StdMult	affymetrix-algorithm-param-ExtendPoolWidth	affymetrix-algorithm-param-ExtendPoolHeight	affymetrix-algorithm-param-OutlierLow	affymetrix-algorithm-param-OutlierHigh	affymetrix-algorithm-param-OutlierRatioLowPercentile	affymetrix-algorithm-param-OutlierRatioHighPercentile	affymetrix-algorithm-param-CellMargin	affymetrix-algorithm-param-HalfCellRowsDivisor	affymetrix-algorithm-param-HalfCellRowsRemainder	affymetrix-algorithm-param-CellIntensityCalculationType	affymetrix-algorithm-param-Percentile	affymetrix-algorithm-param-HighCutoff	affymetrix-algorithm-param-LowCutoff	affymetrix-algorithm-param-PairCutoff	affymetrix-algorithm-param-featureRows	affymetrix-algorithm-param-featureColumns	affymetrix-algorithm-param-featureWidth	affymetrix-algorithm-param-featureHeight	affymetrix-algorithm-param-GridULX	affymetrix-algorithm-param-GridULY	affymetrix-algorithm-param-GridURX	affymetrix-algorithm-param-GridURY	affymetrix-algorithm-param-GridLRX	affymetrix-algorithm-param-GridLRY	affymetrix-algorithm-param-GridLLX	affymetrix-algorithm-param-GridLLY	affymetrix-algorithm-param-FullFeatureWidth	affymetrix-algorithm-param-FullFeatureHeight	affymetrix-SCAN
5513154513507091326453_A01.CEL	1a9b40ae-9f77-4833-a41d-8ae87f46011f	5513154513507091326453	2024-11-14T09:14:09Z	GeneChipHTScanControlMC	0000003345-1731575649-0000015490-0000000764-0000012995	0000003345-1731575872-0000005382-0000001476-0000005386	5513154513507091326453	A01	PlateScanner M10	96FMC	0.59	wavelength	8370.90 minutes	Axiom_PangenomiX	551315	Peg	5um	5952.000000	5952.000000	5952.000000	5952.000000	2	531	609	0	0	0	6	6	496.000000	496.000000	992.000000	992.000000	161.500000	161.500000	62.500000	62.500000	1	40.000000	1	50.000000	RUO	INSTR-ADMIN	1.000000	Affymetrix Inc		36b08514-2104-452b-aca8-ab15b115540f	5513154513507091326453_11-13-2024-1_52_16-PM		False	11/13/2024 1:52:17 PM	11/14/2024 1:24:03 PM	48	47.2	48.3	HT96Fluidic-D0101940	11/14/2024 1:24:18 PM	39	39	38.6	39.1	48.7	50.1	04:46:15.2391448	INSTR-ADMIN	E0101570	INSTR-ADMIN	1190	1190	2	5	5	52168800		Axiom_PangenomiX	Axiom_PangenomiX		Axiom_PangenomiX_MASTER	Axiom_PangenomiX_MASTER	Universal	Universal	Auto aligned	ea8354a9-a0da-4243-a26f-1b88a7971b03	2024_11_14_18_13_34_551315_E0101570	0	25	96	96	8	12	PVCam	3500	531;609	GC;AT	40ms;50ms	HT Image Calibration Cell Generation	3.2.0.222	Universal	1190	1190	0	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	StdvMean	15	1	2	2	1.004	1.5	55	75	4	5	4	Percentile	75	-1	-1	-1	201	202	5	5	0	0	1189	0	1189	1189	0	1189	8	8	
5513154513507091326453_A02.CEL	a09e1ef2-73ed-4b92-87f4-49da2edf3de0	5513154513507091326453	2024-11-14T09:17:48Z	GeneChipHTScanControlMC	0000003345-1731575868-0000031554-0000014096-0000029398	0000003345-1731575986-0000028544-0000018228-0000017148	5513154513507091326453	A02	PlateScanner M10	96FMC	0.59	wavelength	8373.90 minutes	Axiom_PangenomiX	551315	Peg	5um	5952.000000	5952.000000	5952.000000	5952.000000	2	531	609	0	0	0	6	6	496.000000	496.000000	992.000000	992.000000	161.500000	161.500000	62.500000	62.500000	1	40.000000	1	50.000000	RUO	INSTR-ADMIN	1.000000	Affymetrix Inc		36b08514-2104-452b-aca8-ab15b115540f	5513154513507091326453_11-13-2024-1_52_16-PM		False	11/13/2024 1:52:17 PM	11/14/2024 1:24:03 PM	48	47.2	48.3	HT96Fluidic-D0101940	11/14/2024 1:24:18 PM	39	39	38.6	39.1	48.7	50.1	04:46:15.2391448	INSTR-ADMIN	E0101570	INSTR-ADMIN	1190	1190	2	5	5	52168800		Axiom_PangenomiX	Axiom_PangenomiX		Axiom_PangenomiX_MASTER	Axiom_PangenomiX_MASTER	Universal	Universal	Auto aligned	a35a1ffa-c41d-43eb-bba4-592b62605950	2024_11_14_18_13_34_551315_E0101570	0	25	96	96	8	12	PVCam	3500	531;609	GC;AT	40ms;50ms	HT Image Calibration Cell Generation	3.2.0.222	Universal	1190	1190	0	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	StdvMean	15	1	2	2	1.004	1.5	55	75	4	5	4	Percentile	75	-1	-1	-1	201	202	5	5	0	0	1189	0	1189	1189	0	1189	8	8	
5513154513507091326453_A03.CEL	e9d355d4-15ff-459c-badd-bafa3392cfae	5513154513507091326453	2024-11-14T09:19:44Z	GeneChipHTScanControlMC	0000003345-1731575984-0000032722-0000019241-0000015737	0000003345-1731576101-0000030885-0000029877-0000024708	5513154513507091326453	A03	PlateScanner M10	96FMC	0.59	wavelength	8375.90 minutes	Axiom_PangenomiX	551315	Peg	5um	5952.000000	5952.000000	5952.000000	5952.000000	2	531	609	0	0	0	6	6	496.000000	496.000000	992.000000	992.000000	161.500000	161.500000	62.500000	62.500000	1	40.000000	1	50.000000	RUO	INSTR-ADMIN	1.000000	Affymetrix Inc		36b08514-2104-452b-aca8-ab15b115540f	5513154513507091326453_11-13-2024-1_52_16-PM		False	11/13/2024 1:52:17 PM	11/14/2024 1:24:03 PM	48	47.2	48.3	HT96Fluidic-D0101940	11/14/2024 1:24:18 PM	39	39	38.6	39.1	48.7	50.1	04:46:15.2391448	INSTR-ADMIN	E0101570	INSTR-ADMIN	1190	1190	2	5	5	52168800		Axiom_PangenomiX	Axiom_PangenomiX		Axiom_PangenomiX_MASTER	Axiom_PangenomiX_MASTER	Universal	Universal	Auto aligned	45457b11-68a1-4a08-b95e-b025915070e2	2024_11_14_18_13_34_551315_E0101570	0	25	96	96	8	12	PVCam	3500	531;609	GC;AT	40ms;50ms	HT Image Calibration Cell Generation	3.2.0.222	Universal	1190	1190	0	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	StdvMean	15	1	2	2	1.004	1.5	55	75	4	5	4	Percentile	75	-1	-1	-1	201	202	5	5	0	0	1189	0	1189	1189	0	1189	8	8	
5513154513507091326453_A04.CEL	691cce2d-4bde-48ad-9998-9c68b7c576c5	5513154513507091326453	2024-11-14T09:21:41Z	GeneChipHTScanControlMC	0000003345-1731576101-0000022443-0000001713-0000008365	0000003345-1731576191-0000022725-0000020842-0000017099	5513154513507091326453	A04	PlateScanner M10	96FMC	0.59	wavelength	8377.90 minutes	Axiom_PangenomiX	551315	Peg	5um	5952.000000	5952.000000	5952.000000	5952.000000	2	531	609	0	0	0	6	6	496.000000	496.000000	992.000000	992.000000	161.500000	161.500000	62.500000	62.500000	1	40.000000	1	50.000000	RUO	INSTR-ADMIN	1.000000	Affymetrix Inc		36b08514-2104-452b-aca8-ab15b115540f	5513154513507091326453_11-13-2024-1_52_16-PM		False	11/13/2024 1:52:17 PM	11/14/2024 1:24:03 PM	48	47.2	48.3	HT96Fluidic-D0101940	11/14/2024 1:24:18 PM	39	39	38.6	39.1	48.7	50.1	04:46:15.2391448	INSTR-ADMIN	E0101570	INSTR-ADMIN	1190	1190	2	5	5	52168800		Axiom_PangenomiX	Axiom_PangenomiX		Axiom_PangenomiX_MASTER	Axiom_PangenomiX_MASTER	Universal	Universal	Auto aligned	47628765-3cf6-445c-bdb8-0b40ca3696ad	2024_11_14_18_13_34_551315_E0101570	0	25	96	96	8	12	PVCam	3500	531;609	GC;AT	40ms;50ms	HT Image Calibration Cell Generation	3.2.0.222	Universal	1190	1190	0	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	StdvMean	15	1	2	2	1.004	1.5	55	75	4	5	4	Percentile	75	-1	-1	-1	201	202	5	5	0	0	1189	0	1189	1189	0	1189	8	8	
5513154513507091326453_A05.CEL	0771098a-41dd-4f9f-acbf-82ac33b8c9e8	5513154513507091326453	2024-11-14T09:23:10Z	GeneChipHTScanControlMC	0000003345-1731576190-0000025033-0000002667-0000016967	0000003345-1731576306-0000006388-0000021303-0000021798	5513154513507091326453	A05	PlateScanner M10	96FMC	0.59	wavelength	8379.90 minutes	Axiom_PangenomiX	551315	Peg	5um	5952.000000	5952.000000	5952.000000	5952.000000	2	531	609	0	0	0	6	6	496.000000	496.000000	992.000000	992.000000	161.500000	161.500000	62.500000	62.500000	1	40.000000	1	50.000000	RUO	INSTR-ADMIN	1.000000	Affymetrix Inc		36b08514-2104-452b-aca8-ab15b115540f	5513154513507091326453_11-13-2024-1_52_16-PM		False	11/13/2024 1:52:17 PM	11/14/2024 1:24:03 PM	48	47.2	48.3	HT96Fluidic-D0101940	11/14/2024 1:24:18 PM	39	39	38.6	39.1	48.7	50.1	04:46:15.2391448	INSTR-ADMIN	E0101570	INSTR-ADMIN	1190	1190	2	5	5	52168800		Axiom_PangenomiX	Axiom_PangenomiX		Axiom_PangenomiX_MASTER	Axiom_PangenomiX_MASTER	Universal	Universal	Auto aligned	1b69aad4-1854-49f6-90e9-630cd97810e2	2024_11_14_18_13_34_551315_E0101570	0	25	96	96	8	12	PVCam	3500	531;609	GC;AT	40ms;50ms	HT Image Calibration Cell Generation	3.2.0.222	Universal	1190	1190	0	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	StdvMean	15	1	2	2	1.004	1.5	55	75	4	5	4	Percentile	75	-1	-1	-1	201	202	5	5	0	0	1189	0	1189	1189	0	1189	8	8	
5513154513507091326453_A06.CEL	c5723efe-4b5a-4347-88c1-95c1985a4fc3	5513154513507091326453	2024-11-14T09:25:06Z	GeneChipHTScanControlMC	0000003345-1731576306-0000029061-0000019116-0000031832	0000003345-1731576396-0000028130-0000024461-0000023581	5513154513507091326453	A06	PlateScanner M10	96FMC	0.59	wavelength	8381.90 minutes	Axiom_PangenomiX	551315	Peg	5um	5952.000000	5952.000000	5952.000000	5952.000000	2	531	609	0	0	0	6	6	496.000000	496.000000	992.000000	992.000000	161.500000	161.500000	62.500000	62.500000	1	40.000000	1	50.000000	RUO	INSTR-ADMIN	1.000000	Affymetrix Inc		36b08514-2104-452b-aca8-ab15b115540f	5513154513507091326453_11-13-2024-1_52_16-PM		False	11/13/2024 1:52:17 PM	11/14/2024 1:24:03 PM	48	47.2	48.3	HT96Fluidic-D0101940	11/14/2024 1:24:18 PM	39	39	38.6	39.1	48.7	50.1	04:46:15.2391448	INSTR-ADMIN	E0101570	INSTR-ADMIN	1190	1190	2	5	5	52168800		Axiom_PangenomiX	Axiom_PangenomiX		Axiom_PangenomiX_MASTER	Axiom_PangenomiX_MASTER	Universal	Universal	Auto aligned	e18b3a5b-8c49-41b5-ad2a-7d612fd44efc	2024_11_14_18_13_34_551315_E0101570	0	25	96	96	8	12	PVCam	3500	531;609	GC;AT	40ms;50ms	HT Image Calibration Cell Generation	3.2.0.222	Universal	1190	1190	0	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	StdvMean	15	1	2	2	1.004	1.5	55	75	4	5	4	Percentile	75	-1	-1	-1	201	202	5	5	0	0	1189	0	1189	1189	0	1189	8	8	
5513154513507091326453_A07.CEL	cf707448-aa80-41d4-bb49-bcd4084e7fe1	5513154513507091326453	2024-11-14T09:26:34Z	GeneChipHTScanControlMC	0000003345-1731576394-0000005777-0000026928-0000002840	0000003345-1731576486-0000005392-0000003796-0000027671	5513154513507091326453	A07	PlateScanner M10	96FMC	0.59	wavelength	8382.90 minutes	Axiom_PangenomiX	551315	Peg	5um	5952.000000	5952.000000	5952.000000	5952.000000	2	531	609	0	0	0	6	6	496.000000	496.000000	992.000000	992.000000	161.500000	161.500000	62.500000	62.500000	1	40.000000	1	50.000000	RUO	INSTR-ADMIN	1.000000	Affymetrix Inc		36b08514-2104-452b-aca8-ab15b115540f	5513154513507091326453_11-13-2024-1_52_16-PM		False	11/13/2024 1:52:17 PM	11/14/2024 1:24:03 PM	48	47.2	48.3	HT96Fluidic-D0101940	11/14/2024 1:24:18 PM	39	39	38.6	39.1	48.7	50.1	04:46:15.2391448	INSTR-ADMIN	E0101570	INSTR-ADMIN	1190	1190	2	5	5	52168800		Axiom_PangenomiX	Axiom_PangenomiX		Axiom_PangenomiX_MASTER	Axiom_PangenomiX_MASTER	Universal	Universal	Auto aligned	713a05cb-0cad-4b25-822a-4de07fac3197	2024_11_14_18_13_34_551315_E0101570	0	25	96	96	8	12	PVCam	3500	531;609	GC;AT	40ms;50ms	HT Image Calibration Cell Generation	3.2.0.222	Universal	1190	1190	0	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	StdvMean	15	1	2	2	1.004	1.5	55	75	4	5	4	Percentile	75	-1	-1	-1	201	202	5	5	0	0	1189	0	1189	1189	0	1189	8	8	
5513154513507091326453_A08.CEL	9e0a16ea-992f-4853-98c1-2f53172100df	5513154513507091326453	2024-11-14T09:28:02Z	GeneChipHTScanControlMC	0000003345-1731576482-0000027783-0000006251-0000002286	0000003345-1731576576-0000009860-0000031863-0000020577	5513154513507091326453	A08	PlateScanner M10	96FMC	0.59	wavelength	8383.90 minutes	Axiom_PangenomiX	551315	Peg	5um	5952.000000	5952.000000	5952.000000	5952.000000	2	531	609	0	0	0	6	6	496.000000	496.000000	992.000000	992.000000	161.500000	161.500000	62.500000	62.500000	1	40.000000	1	50.000000	RUO	INSTR-ADMIN	1.000000	Affymetrix Inc		36b08514-2104-452b-aca8-ab15b115540f	5513154513507091326453_11-13-2024-1_52_16-PM		False	11/13/2024 1:52:17 PM	11/14/2024 1:24:03 PM	48	47.2	48.3	HT96Fluidic-D0101940	11/14/2024 1:24:18 PM	39	39	38.6	39.1	48.7	50.1	04:46:15.2391448	INSTR-ADMIN	E0101570	INSTR-ADMIN	1190	1190	2	5	5	52168800		Axiom_PangenomiX	Axiom_PangenomiX		Axiom_PangenomiX_MASTER	Axiom_PangenomiX_MASTER	Universal	Universal	Auto aligned	4b7e11b1-1e67-4231-9b7d-da0f4be911d9	2024_11_14_18_13_34_551315_E0101570	0	25	96	96	8	12	PVCam	3500	531;609	GC;AT	40ms;50ms	HT Image Calibration Cell Generation	3.2.0.222	Universal	1190	1190	0	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	StdvMean	15	1	2	2	1.004	1.5	55	75	4	5	4	Percentile	75	-1	-1	-1	201	202	5	5	0	0	1189	0	1189	1189	0	1189	8	8	
5513154513507091326453_A09.CEL	0aa950ac-6101-4c60-96d4-2c30a0d9bc4e	5513154513507091326453	2024-11-14T09:29:32Z	GeneChipHTScanControlMC	0000003345-1731576572-0000006594-0000028778-0000024747	0000003345-1731576666-0000004670-0000013876-0000002492	5513154513507091326453	A09	PlateScanner M10	96FMC	0.59	wavelength	8385.90 minutes	Axiom_PangenomiX	551315	Peg	5um	5952.000000	5952.000000	5952.000000	5952.000000	2	531	609	0	0	0	6	6	496.000000	496.000000	992.000000	992.000000	161.500000	161.500000	62.500000	62.500000	1	40.000000	1	50.000000	RUO	INSTR-ADMIN	1.000000	Affymetrix Inc		36b08514-2104-452b-aca8-ab15b115540f	5513154513507091326453_11-13-2024-1_52_16-PM		False	11/13/2024 1:52:17 PM	11/14/2024 1:24:03 PM	48	47.2	48.3	HT96Fluidic-D0101940	11/14/2024 1:24:18 PM	39	39	38.6	39.1	48.7	50.1	04:46:15.2391448	INSTR-ADMIN	E0101570	INSTR-ADMIN	1190	1190	2	5	5	52168800		Axiom_PangenomiX	Axiom_PangenomiX		Axiom_PangenomiX_MASTER	Axiom_PangenomiX_MASTER	Universal	Universal	Auto aligned	69db2b2e-17bc-4d89-8dba-d628491ca53d	2024_11_14_18_13_34_551315_E0101570	0	25	96	96	8	12	PVCam	3500	531;609	GC;AT	40ms;50ms	HT Image Calibration Cell Generation	3.2.0.222	Universal	1190	1190	0	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	StdvMean	15	1	2	2	1.004	1.5	55	75	4	5	4	Percentile	75	-1	-1	-1	201	202	5	5	0	0	1189	0	1189	1189	0	1189	8	8	
5513154513507091326453_A10.CEL	919c9664-e2dd-425f-a765-ec93522ab815	5513154513507091326453	2024-11-14T09:31:03Z	GeneChipHTScanControlMC	0000003345-1731576663-0000022660-0000024993-0000018201	0000003345-1731576781-0000019074-0000029955-0000023906	5513154513507091326453	A10	PlateScanner M10	96FMC	0.59	wavelength	8386.90 minutes	Axiom_PangenomiX	551315	Peg	5um	5952.000000	5952.000000	5952.000000	5952.000000	2	531	609	0	0	0	6	6	496.000000	496.000000	992.000000	992.000000	161.500000	161.500000	62.500000	62.500000	1	40.000000	1	50.000000	RUO	INSTR-ADMIN	1.000000	Affymetrix Inc		36b08514-2104-452b-aca8-ab15b115540f	5513154513507091326453_11-13-2024-1_52_16-PM		False	11/13/2024 1:52:17 PM	11/14/2024 1:24:03 PM	48	47.2	48.3	HT96Fluidic-D0101940	11/14/2024 1:24:18 PM	39	39	38.6	39.1	48.7	50.1	04:46:15.2391448	INSTR-ADMIN	E0101570	INSTR-ADMIN	1190	1190	2	5	5	52168800		Axiom_PangenomiX	Axiom_PangenomiX		Axiom_PangenomiX_MASTER	Axiom_PangenomiX_MASTER	Universal	Universal	Auto aligned	06b31450-f9d2-4ba6-a70f-6b8f8646eb9e	2024_11_14_18_13_34_551315_E0101570	0	25	96	96	8	12	PVCam	3500	531;609	GC;AT	40ms;50ms	HT Image Calibration Cell Generation	3.2.0.222	Universal	1190	1190	0	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	StdvMean	15	1	2	2	1.004	1.5	55	75	4	5	4	Percentile	75	-1	-1	-1	201	202	5	5	0	0	1189	0	1189	1189	0	1189	8	8	
